1,凉皮,1
2,桔榎,1
3,炒花生米,1
4,贝果,1
5,中药渣,1
6,玉米须,1
7,鸡骨头,1
8,麻辣香锅残渣,1
9,豆制品,1
10,蚊子,1
11,食用油,1
12,马卡龙,1
13,秋葵,1
14,海蜇皮,1
15,鸭蛋,1
16,苹果泥,1
17,银耳,1
18,话梅核,1
19,花生,1
20,干蘑菇,1
21,大米,1
22,薰衣草,1
23,枸杞,1
24,香榧子壳,1
25,橄棪核,1
26,虾肉,1
27,蛋糕,1
28,鸭架,1
29,鱼子酱,1
30,压缩饼干,1
31,竹笋,1
32,茭白叶,1
33,盐,1
34,甜品,1
35,牛蛙,1
36,米线,1
37,荷叶,1
38,苹果,1
39,青菜叶,1
40,乌梅,1
41,草莓,1
42,芦荟,1
43,象鼻蚌,1
44,椰肉,1
45,火龙果,1
46,废弃植物,1
47,番茄梗,1
48,草头,1
49,又烧,1
50,树枝,1
51,桂圆壳,1
52,茶叶蛋壳,1
53,面包,1
54,麻辣烫,1
55,麻椒,1
56,兔子骨头,1
57,奥利奥饼干,1
58,黄泥螺,1
59,冷面,1
60,乌龙茶,1
61,咖啡渣,1
62,山东煎饼,1
63,黄瓜皮,1
64,盐水鸭,1
65,白茶,1
66,橙子皮,1
67,燕窝,1
68,白砂糖,1
69,蝉蛹,1
70,种子,1
71,海業花,1
72,栗子壳,1
73,瓜果,1
74,花瓣,1
75,茶叶蛋,1
76,玉米猫砂,1
77,笋干,1
78,西柚皮,1
79,干炒牛河,1
80,菜叶,1
81,西瓜子,1
82,小肉骨头,1
83,奶酪火锅锅底,1
84,鸡蛋仔,1
85,西米,1
86,果皮,1
87,慢头,1
88,西梅核,1
89,烧鸡,1
90,铁板鱿鱼,1
91,小米,1
92,土豆泥,1
93,酒酿,1
94,瓜子仁,1
95,最苹果皮,1
96,波萝皮,1
97,过期糖,1
98,松果,1
99,泡椒,1
100,水果沙拉,1
101,牛莺,1
102,西餐糕点,1
103,美芹,1
104,软糖,1
105,面饼,1
106,孜然粉,1
107,油桃肉,1
108,宝宝辅食泥,1
109,小笼包,1
110,公丁香,1
111,巴旦木,1
112,盐酥鸡,1
113,油条,1
114,碎骨头,1
115,腊肠,1
116,可爱多甜筒,1
117,波萝蜜肉,1
118,魔芋,1
119,过期食品,1
120,煎饼果子,1
121,跳跳糖,1
122,披萨,1
123,车厘子核,1
124,哈密瓜籽,1
125,高邮成蛋,1
126,中药材,1
127,杨桃籽,1
128,兰州拉面,1
